Index, Allergen
81,Abalone
80,Absinthe
41,Acacia (gum)
46,Acerola
79,Acorn squash
1,Agar Agar
12,Agave
98,Albacore
41,Alfalfa
1,Algae
63,Allspice
40b,Almond
11,Aloe vera
54,Althea root
12,Amaryllis
94,Amberjack
86,American eel
117,Amphibians
85,Anchovy
65,Angelica
65,Anise
38,Annatto
136,Antelope
40a,Apple
73,Apple mint
40b,Apricot
47,"Arrowroot, Brazilian (tapioca)"
9,Arrowroot (colocasia)
17,"Arrowroot, East Indian (curcuma)"
19,Arrowroot
13,"Arrowroot,  Fiji (tacca)"
4,"Arrowroot,  Florida (zamia)"
19,Arrowroot (maranta starch)
16,Arrowroot (musa)
18,"Arrowroot,  Queensland"
80,Artichoke flour
9,Arum
11,Asparagus
2,Aspergillus
34,Avocado
2,Baker's yeast
6,Bamboo shoots
16,Banana
16,Banana
46,Barbados cherry
6,Barley
73,Basil
114,Bass (black)
113,Bass (yellow)
53,Basswood
34,Bay leaf
41,Bean
132,Bear
45,Citrus
81,Clam
73,Clary
63,Clove
41,Clover
55,Cocoa
55,Cocoa butter
8,Coconut
79,Cocozelle
87,Cod (scrod)
76,Coffee
55,Cola nut
36,Collards
80,Coltsfoot
36,Colza shoots
71,Comfrey
80,Composite
5,Conifer
65,Coriander
6,Corn (mature)
78,Corn-salad
80,Costmary
54,Cottonseed oil
41,Coumarin
36,Couve tronchuda
41,Cowpea
82,Crab
40a,Crabapple
66,Cranberry
114,Crappie
82,Crayfish
52,Cream of tartar
79,Crenshaw melon
96,Croaker
79,Crookneck squash
79,Cucumber
65,Cumin
36,Curly cress
39,Currant
79,Cushaw squash
87,Cusk
32,Custard-apple
32,Custard-apple
4,Cycad
103,Dab
80,Dandelion
9,Dasheen
8,Date
8,Date sugar
135,Deer
40c,Dewberry
65,Dill
56,Dillenia
73,Dittany
95,Dolphin
122,Dove
41,Kidney bean
56,Kiwi berry
36,Kohlrabi
45,Kumquat
137,Lamb
28,Lamb’s-quarters
34,Laurel
73,Lavender
